,,Total Budget,,,,,,Budget currency,,,,,,,,,,,,,,,,,USD at budget exchange rate: 17.2,,,,,,,,,,,,
,,2026 Cancun,,,,,," $ 1,503,560.78 "," $ 1,457,680.78 "," $ 1,333,110.78 "," $ 1,334,910.78 "," $ 1,278,560.78 "," $ 1,262,460.78 "," $ 1,308,180.78 "," $ 1,220,375.78 "," $ 1,203,260.78 "," $ 1,238,860.78 "," $ 1,275,260.78 "," $ 1,134,025.78 "," $ 15,550,249.36 ",,,,," $ 87,416.32 "," $ 84,748.88 "," $ 77,506.44 "," $ 77,611.09 "," $ 74,334.93 "," $ 73,398.88 "," $ 76,057.02 "," $ 70,952.08 "," $ 69,957.02 "," $ 72,026.79 "," $ 74,143.07 "," $ 65,931.73 "," $ 904,084.27 "
Budget,KEY,US Netsuite Category,Producto,Clase,Dato estadistico: Presupuesto,Description,Additional Desc. (optional),January MXN,February MXN,March MXN,April MXN,May MXN,June MXN,July MXN,August MXN,September MXN,October MXN,November MXN,December MXN,2026 Total MXN,,,,,January USD,February USD,March USD,April USD,May USD,June USD,July USD,August USD,September USD,October USD,November USD,December USD,2026 Total USD
Cancun,1009,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Celebraciones,Celebrations,"Aniversarios, cumpleaños, reconocimientos, festejos (amor y la amistad, día de las madres, día del padre, independencia US,MX, acción de gracias, navidad)"," $ 3,000.00 "," $ 5,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 8,000.00 "," $ 5,000.00 "," $ 5,000.00 "," $ 6,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 19,000.00 ",," $ 63,000.00 ",,,,, $ 174.42 , $ 290.70 , $ 174.42 , $ 174.42 , $ 465.12 , $ 290.70 , $ 290.70 , $ 348.84 , $ 174.42 , $ 174.42 ," $ 1,104.65 ",," $ 3,662.79 "
Cancun,1010,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Alimentos,Staff Community Meals,Comidas comunitarias para el personal," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 10,000.00 "," $ 1,500.00 "," $ 26,500.00 ",,,,, $ 87.21 , $ 87.21 , $ 87.21 , $ 87.21 , $ 87.21 , $ 87.21 , $ 87.21 , $ 87.21 , $ 87.21 , $ 87.21 , $ 581.40 , $ 87.21 ," $ 1,540.70 "
Cancun,1011,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Retiro del Staff,Staff Retreat,Retiro e integracion del personal,,," $ 40,000.00 ",,,,,,,,,," $ 40,000.00 ",,,,,,," $ 2,325.58 ",,,,,,,,,," $ 2,325.58 "
Cancun,1012,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Coordinación,Site leadership expenses,Liderazgo del sitio,," $ 20,000.00 ",,,,,,,,,,," $ 20,000.00 ",,,,,," $ 1,162.79 ",,,,,,,,,,," $ 1,162.79 "
Cancun,1013,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Seguros y Fianzas,Propety Insurance,Seguro de propiedad," $ 36,500.00 ",," $ 80,500.00 ",,,,,,,,,," $ 117,000.00 ",,,,," $ 2,122.09 ",," $ 4,680.23 ",,,,,,,,,," $ 6,802.33 "
Cancun,1014,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Mtto. a Instalaciones,Fire Protection,Mantenimiento y proteccion general para incendios,," $ 40,000.00 ",," $ 40,000.00 ",,,,,,,,," $ 80,000.00 ",,,,,," $ 2,325.58 ",," $ 2,325.58 ",,,,,,,,," $ 4,651.16 "
Cancun,1015,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Gastos Médicos,Medical Fund,Emergencias médicas para el personal," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 48,000.00 ",,,,, $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 ," $ 2,790.70 "
Cancun,1016,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Internet,Intermet,Intermet, $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 , $ 155.00 ," $ 1,860.00 ",,,,, $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 9.01 , $ 108.14 
Cancun,1017,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Equipo de Cómputo,Microsoft Office License (1yr),"Licencias microsoft
3 licencias de equipo"," $ 6,900.00 ",,,,,,,,,,,," $ 6,900.00 ",,,,, $ 401.16 ,,,,,,,,,,,, $ 401.16 
Cancun,1018,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Capacitaciones,"Strategic awareness-raising and outreach events - Night of Hope, Orphan Day, Family Day","Eventos estratégicos de sensibilización y vinculación - Noche de Esperanza, Día del huérfano, día de la familia",,,,," $ 15,000.00 ",,,,," $ 10,000.00 "," $ 15,000.00 ",," $ 40,000.00 ",,,,,,,,, $ 872.09 ,,,,, $ 581.40 , $ 872.09 ,," $ 2,325.58 "
